countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-NicholsonStBrunswickRd, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:30:00, 15, bicycle riders, F, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 4, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:00:00, 15, bicycle riders, F, 0, 5, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:30:00, 15, bicycle riders, F, 0, 7, 0, 2, 1, 0, 0, 1, 0, 0, 2, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:45:00, 15, bicycle riders, F, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:00:00, 15, bicycle riders, M, 1, 5, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:15:00, 15, bicycle riders, M, 0, 5, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:30:00, 15, bicycle riders, M, 0, 7, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 07:45:00, 15, bicycle riders, M, 0, 4, 1, 0, 5, 0, 0, 0, 0, 0, 1, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:00:00, 15, bicycle riders, M, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:15:00, 15, bicycle riders, M, 0, 8, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:30:00, 15, bicycle riders, M, 1, 7, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2016-03-01 08:45:00, 15, bicycle riders, M, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
