BE-NicholsonStGlenlyonRd-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-NicholsonStGlenlyonRd, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 4, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1
BE-NicholsonStGlenlyonRd, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2
BE-NicholsonStGlenlyonRd, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 6, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1
BE-NicholsonStGlenlyonRd, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 12, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
BE-NicholsonStGlenlyonRd, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-NicholsonStGlenlyonRd, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 3, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 3, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 4, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 2, 1, 1, 3, 0, 0, 1, 0, 0, 1, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 08:00:00, 15, bicycle riders, M, 1, 9, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 08:15:00, 15, bicycle riders, M, 2, 13, 2, 0, 3, 0, 0, 0, 0, 2, 2, 1
BE-NicholsonStGlenlyonRd, 2012-03-06 08:30:00, 15, bicycle riders, M, 1, 12, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0
BE-NicholsonStGlenlyonRd, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 3, 3, 0, 2, 0, 0, 2, 0, 0, 1, 0
