BE-TruscottBrunswickRd-2017-03-07

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-TruscottBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 5, 4, 1, 1, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 7, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, 5, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 15, 4, 2, 1, 0, 0, 0, 0, 0, 2, 0
BE-TruscottBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, 17, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 23, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, F, 1, 9, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-TruscottBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 5, 3, 0, 1, 0, 0, 3, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, M, 0, 8, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, M, 0, 10, 5, 0, 3, 0, 0, 1, 0, 1, 2, 0
BE-TruscottBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, 10, 9, 0, 1, 0, 0, 2, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, 16, 7, 1, 3, 0, 0, 2, 0, 0, 2, 0
BE-TruscottBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 21, 8, 0, 1, 0, 0, 1, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 21, 5, 2, 5, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, 16, 7, 0, 1, 0, 0, 2, 0, 0, 0, 0
