BE-TruscottBrunswickRd-2010-03-02

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-TruscottBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, F, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, F, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, F, 0, 5, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, F, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, F, 1, 9, 3, 1, 1, 0, 0, 1, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, F, 0, 19, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, F, 0, 7, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, F, 0, 11, 17, 2, 0, 0, 0, 0, 1, 0, 1, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-TruscottBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, M, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
BE-TruscottBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, M, 0, 5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, M, 2, 5, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1
BE-TruscottBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, M, 0, 4, 4, 2, 2, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, M, 0, 14, 10, 0, 2, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, M, 1, 8, 5, 3, 3, 0, 0, 1, 0, 0, 3, 0
BE-TruscottBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, M, 0, 14, 7, 1, 2, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, M, 1, 11, 15, 1, 1, 0, 0, 0, 0, 0, 1, 0
