countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 22, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
B-UpfieldBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, F, 1, 38, 0, 0, 1, 0, 0, 4, 0, 0, 1, 3
B-UpfieldBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, F, 2, 40, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1
B-UpfieldBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, F, 2, 57, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2
B-UpfieldBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 77, 0, 0, 0, 0, 0, 2, 0, 0, 1, 4
B-UpfieldBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, F, 2, 73, 0, 0, 0, 0, 0, 6, 0, 0, 4, 5
B-UpfieldBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, F, 3, 75, 0, 0, 0, 1, 0, 5, 0, 0, 1, 13
B-UpfieldBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 54, 0, 0, 0, 1, 0, 2, 0, 0, 0, 4
B-UpfieldBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, M, 1, 30, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
B-UpfieldBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, M, 1, 33, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3
B-UpfieldBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, M, 0, 65, 0, 0, 1, 0, 0, 4, 0, 0, 1, 1
B-UpfieldBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, M, 1, 65, 0, 0, 2, 0, 0, 4, 0, 0, 2, 1
B-UpfieldBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, M, 1, 104, 0, 0, 0, 0, 0, 9, 0, 0, 1, 8
B-UpfieldBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, M, 3, 110, 0, 0, 0, 0, 0, 2, 0, 1, 5, 8
B-UpfieldBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, M, 5, 96, 0, 0, 0, 2, 0, 4, 1, 1, 3, 10
B-UpfieldBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, M, 1, 64, 0, 0, 0, 0, 1, 7, 0, 0, 3, 5
